LINE - 8 : [ 2025-11-14 01:03:40,668 ] Demo - INFO - Demo checking...
LINE - 8 : [ 2025-11-14 01:04:39,534 ] Demo - INFO - Demo checking...
LINE - 8 : [ 2025-11-14 01:05:04,837 ] Demo - - INFO - Demo checking...
LINE - 18 : [ 2025-11-14 01:06:06,142 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:06:06,142 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:06:06,142 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]]
LINE - 18 : [ 2025-11-14 01:07:01,927 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:07:01,927 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:07:01,927 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]]
LINE - 18 : [ 2025-11-14 01:12:13,526 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:12:13,526 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:12:13,526 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]]
LINE - 18 : [ 2025-11-14 01:13:46,278 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:13:46,279 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:13:46,279 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [22] error message [Failed to connect to mongodb!!]]
LINE - 19 : [ 2025-11-14 01:16:46,537 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:16:46,704 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [29] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:16:46,704 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [29] error message [Failed to connect to mongodb!!]]
LINE - 19 : [ 2025-11-14 01:17:20,159 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 34 : [ 2025-11-14 01:17:20,333 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 19 : [ 2025-11-14 01:18:28,050 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 34 : [ 2025-11-14 01:18:28,701 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 19 : [ 2025-11-14 01:21:02,020 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 35 : [ 2025-11-14 01:21:02,651 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 19 : [ 2025-11-14 01:21:25,293 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:21:25,344 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [30] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:21:25,344 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [30] error message [Failed to connect to mongodb!!]]
LINE - 19 : [ 2025-11-14 01:21:31,505 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 35 : [ 2025-11-14 01:21:32,157 ] Mongodb_connection - INFO - Connected to mongodb.
LINE - 22 : [ 2025-11-14 01:37:19,396 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:37:19,555 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:37:19,555 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]]
LINE - 22 : [ 2025-11-14 01:39:22,138 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:39:22,204 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:39:22,204 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]]
LINE - 22 : [ 2025-11-14 01:39:50,928 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:39:50,980 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]
LINE - 13 : [ 2025-11-14 01:39:50,980 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/data_access/FakeNewsData.py] line number [13] error message [Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]]
LINE - 22 : [ 2025-11-14 01:39:56,633 ] Mongodb_connection - INFO - Connecting to Mongodb...
LINE - 13 : [ 2025-11-14 01:39:56,680 ] Exception - ERROR - Error occurred in python script name [/Users/user/Documents/MLOPS/MLOPS-Fake-News_classifier/src/configuration/mongodb_connection.py] line number [35] error message [Failed to connect to mongodb!!]
